X				Y			OBJECTID	SPECIES	DIAMETER
-89.39428455	43.05394813	340	541	28
-89.39407122	43.05394271	341	544	21
-89.39386367	43.05394375	342	541	29
-89.3937088		43.05393864	343	544	16
-89.39357145	43.05393576	344	541	22
-89.39343699	43.05393504	345	952	1
-89.39324696	43.05393832	346	544	16
-89.39302781	43.05393072	347	541	10
-89.39282905	43.05392966	348	541	19
-89.39276925	43.04744047	349	320	20
-89.39278547	43.04732625	350	320	17
-89.39280186	43.04719543	351	320	16
-89.39282332	43.04705911	352	320	19
-89.39289513	43.04666309	353	320	14
-89.39291111	43.04657283	354	320	9
-89.39292575	43.04636457	355	320	4
-89.39294485	43.04621348	356	320	13
-89.39296357	43.04610112	357	320	8
-89.39299274	43.04594824	358	320	5
-89.38790462	43.04521688	359	602	26
-89.38748238	43.04499515	360	544	13
-89.3872987		43.04492271	361	544	15
-89.38712557	43.04484012	362	544	20
-89.38665811	43.04461815	363	96	14
-89.38650542	43.04457905	364	541	21
-89.386	43.0	4432625	365	544	14
-89.38587494	43.04430771	366	317	28
-89.38566387	43.04419174	367	313	21
-89.38555994	43.0441478	368	660	17
-89.38552505	43.04415782	369	972	11
-89.3847908		43.04382722	370	972	20
-89.38444442	43.04367479	371	313	23
-89.38503122	43.04275421	372	1	0
-89.38569912	43.04276292	373	972	11
-89.38608676	43.04300617	374	96	14
-89.38607955	43.04298991	375	96	12
-89.38608761	43.04365493	376	544	19
-89.38608183	43.0437414	377	544	16
-89.38587899	43.04403739	378	544	23
-89.38588282	43.04374033	379	1	0
-89.38580649	43.04277939	380	1	0
-89.38568014	43.04288323	381	1	0
-89.38513474	43.04287848	382	1	0
-89.38428868	43.04223235	383	901	16
-89.38429827	43.04225583	384	901	12
-89.38468979	43.04192636	385	313	34
-89.38509758	43.04193217	386	1	0
-89.38565522	43.04194059	387	1	0
-89.38596966	43.04194589	388	660	3
-89.38621044	43.04194538	389	1	0
-89.38648564	43.04194326	390	760	2
-89.38684425	43.04195421	391	1	0
-89.38696356	43.04206118	392	901	22
-89.38683089	43.04206046	393	544	9
-89.38671539	43.04206344	394	901	31
-89.38657779	43.0420645	395	317	35
-89.38644758	43.0420638	396	317	31
-89.38633212	43.04206138	397	317	22
-89.38619949	43.04205706	398	320	21
-89.38566877	43.0420596	399	1	0
-89.38527817	43.04205389	400	320	18
-89.38453135	43.04204444	401	1	0
-89.38428514	43.04185209	402	602	16
-89.38430004	43.04159266	403	602	15
-89.38428248	43.04162861	404	313	9
-89.38428219	43.04165744	405	972	10
-89.38428137	43.04166993	406	972	11
-89.38428894	43.04167887	407	901	10
-89.38427487	43.04168113	408	602	13
-89.38428596	43.04177099	409	972	9
-89.38430565	43.0417675	410	602	12
-89.38429306	43.04179806	411	972	8
-89.38601961	43.0411316	412	96	10
-89.38649615	43.04114138	413	544	22
-89.38736578	43.04115327	414	320	9
-89.38739772	43.04115344	415	972	9
-89.38724758	43.04142476	416	972	10
-89.38707257	43.04148148	417	313	24
-89.38707953	43.04152297	418	320	12
-89.38725058	43.0416158	419	833	18
-89.38725285	43.04163383	420	313	11
-89.38707919	43.04229067	421	317	34
-89.3870843		43.04276105	422	549	9
-89.38707579	43.04287454	423	549	12
-89.38707592	43.04310701	424	549	19
-89.38706742	43.0432187	425	549	1
-89.38705658	43.04331956	426	760	4
-89.38709883	43.0437613	427	544	4
-89.38708164	43.04376121	428	972	8
-89.38723441	43.04396207	429	602	15
-89.38723087	43.04431526	430	317	41
-89.38697755	43.04458422	431	602	25
-89.38688905	43.04458915	432	320	16
-89.38629726	43.04430843	433	1	0
-89.39046045	43.04585388	434	544	9
-89.39041751	43.04599084	435	547	16
-89.39037718	43.04612782	436	547	15
-89.39034679	43.0462764	437	547	24
-89.39033401	43.04638565	438	544	18
-89.39029264	43.04672412	439	547	25
-89.39028291	43.04682053	440	547	23
-89.39025801	43.04697259	441	544	19
-89.39023964	43.04705609	442	554	14
-89.39020168	43.04734527	443	554	18
-89.39016086	43.047628	444	554	15
-89.39013913	43.04775543	445	554	6
-89.39010804	43.04794176	446	554	18
-89.39009798	43.04807139	447	554	17
-89.39007918	43.04819776	448	554	21
-89.39005986	43.04837558	449	554	18
-89.39003223	43.04850833	450	554	21
-89.39001926	43.04863688	451	317	27
-89.38999809	43.0487075	452	554	17
-89.38998228	43.04882746	453	554	13
-89.38996911	43.0489753	454	554	1
-89.39138456	43.04889499	455	554	10
-89.391412		43.04878152	456	554	19
-89.39143696	43.04862303	457	554	20
-89.39145872	43.04849239	458	554	20
-89.39147752	43.04836602	459	554	24
-89.39150828	43.04821184	460	554	23
-89.39151229	43.04810254	461	554	24
-89.39152217	43.04799113	462	554	23
-89.39166921	43.04790081	463	544	11
-89.39181534	43.04790159	464	544	12
-89.39196723	43.04791098	465	544	9
-89.39216303	43.04791417	466	2	20
-89.39253712	43.04791617	467	544	14
-89.39257887	43.04783279	468	544	16
-89.39222822	43.04782449	469	544	13
-89.39206743	43.04782791	470	544	21
-89.39168474	43.04780872	471	544	16
-89.39157149	43.04773523	472	554	23
-89.39158454	43.04759811	473	554	20
-89.39160353	43.04745245	474	554	25
-89.39161957	43.04730892	475	554	24
-89.39165443	43.04703687	476	554	16
-89.39172611	43.04658924	477	544	12
-89.39174534	43.04642	478	544	14
-89.39177895	43.04627227	479	544	22
-89.39179207	43.04612872	480	544	25
-89.39053669	43.05268132	481	320	25
-89.39056043	43.05264524	482	320	27
-89.39059743	43.05258256	483	320	20
-89.39064783	43.05247994	484	941	1
-89.39071136	43.05236214	485	320	16
-89.39083571	43.05213797	486	547	25
-89.39089666	43.05201826	487	544	25
-89.39109753	43.0519374	488	544	13
-89.39129758	43.05193847	489	802	32
-89.39146384	43.05194126	490	547	19
-89.3916171		43.05194399	491	544	5
-89.39208464	43.05195792	492	972	17
-89.39159226	43.05182953	493	802	27
-89.39143903	43.05182299	494	802	27
-89.39133511	43.05182244	495	802	31
-89.39115327	43.05181956	496	802	29
-89.39107129	43.05170289	497	462	1
-89.39114017	43.05156988	498	462	1
-89.39133078	43.05121459	499	544	19
-89.39144196	43.05100749	500	544	17
-89.3916301		43.05089989	501	941	1
-89.39180938	43.05089894	502	769	12
-89.39193926	43.05090154	503	941	5
-89.39240162	43.05091354	504	650	4
-89.3927134		43.0509133	505	356	3
-89.39281993	43.05091196	506	356	1
-89.39430517	43.05511114	507	952	2
-89.39446587	43.05511843	508	974	38
-89.3946676		43.05511521	509	318	25
-89.3948021		43.05511164	510	554	24
-89.39500368	43.05512343	511	544	12
-89.39514605	43.05520993	512	320	10
-89.39513652	43.05528705	513	317	35
-89.39513565	43.05537493	514	317	40
-89.39513154	43.05549495	515	320	22
-89.39512429	43.05563639	516	544	23
-89.39511755	43.05572638	517	320	21
-89.39512113	43.05595577	518	320	12
-89.39392136	43.05490546	519	544	19
-89.39393209	43.0547083	520	311	9
-89.39393989	43.05451113	521	547	24
-89.39394684	43.05439971	522	547	33
-89.39395185	43.05418966	523	544	24
-89.39379664	43.05421884	524	1	0
-89.39378756	43.05438025	525	1	0
-89.39378859	43.05457103	526	544	25
-89.39378074	43.05477249	527	547	23
-89.39377369	43.05489464	528	547	28
-89.39343947	43.0549936	529	544	22
-89.39330508	43.05498646	530	544	18
-89.39305957	43.054983	531	544	18
-89.39289296	43.05498212	532	544	20
-89.39303811	43.05091884	533	356	1
-89.39344776	43.05100486	534	320	6
-89.39372578	43.05126548	535	544	13
-89.39381855	43.05134219	536	320	6
-89.39396025	43.05146299	537	544	13
-89.39407618	43.05156269	538	547	18
-89.39416641	43.05163367	539	320	17
-89.39426945	43.05172377	540	320	18
-89.39433903	43.0517813	541	320	15
-89.39413997	43.05141822	542	544	19
-89.39398801	43.05128403	543	547	28
-89.39385403	43.05117089	544	547	27
-89.39359905	43.0509447	545	544	13
-89.39344802	43.05071715	546	544	8
-89.39333044	43.05052217	547	544	9
-89.3931614		43.05027737	548	544	13
-89.39310252	43.05018941	549	547	24
-89.39301041	43.05004601	550	544	12
-89.39281027	43.05005447	551	1	0
-89.39288963	43.05017303	552	544	22
-89.39295859	43.05029344	553	544	10
-89.39310719	43.05050383	554	544	8
-89.39319167	43.05063004	555	544	17
